Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/19/2021,P Terrys Burger Stand,CHECKCARD P TERRYS BURGER S AUSTIN TX ON 08/18,14.94,debit,Fast Food,Adv Plus Banking - 4686,,
8/19/2021,LA Fitness,CHECKCARD 08/19 LA FITNESS IRVINE CA,37.88,debit,Gym,Adv Plus Banking - 4686,,
8/19/2021,Nike,CHECKCARD NIKE.COM 800-806-6453 ON 08/17,194.85,debit,Clothing,Adv Plus Banking - 4686,,
8/18/2021,TIX* HABSTRAKT (A 8009363126 CA 55429501230637633301093,CHECKCARD  0817 TIX* HABSTRAKT (A                           8009363126   CA 55429501230637633301093,41.78,debit,Entertainment,Adv Plus Banking - 4686,,
8/18/2021,Apple,CHECKCARD  0818 APPLE.COM/BILL                              866-712-7753 CA 55432861230200267148521 RECURRING,8.65,debit,Electronics & Software,Adv Plus Banking - 4686,,
8/17/2021,Nike,CHECKCARD  0817 NIKE.COM                                    800-806-6453 OR 55541861229004027354051,162.38,debit,Clothing,Adv Plus Banking - 4686,,
8/17/2021,Venmo,PMNT SENT  0816 VENMO                                       8558124430   NY 55480771228602733329716,200,debit,Transfer,Adv Plus Banking - 4686,,
8/16/2021,P Terrys Burger Stand,CHECKCARD  0813 P TERRYS BURGER S                           AUSTIN       TX 05314611226500234320035,6.55,debit,Fast Food,Adv Plus Banking - 4686,,
8/16/2021,FIV*GONG CHA DOBI AUSTIN TX 05436841226300167618323,CHECKCARD  0814 FIV*GONG CHA DOBI                           AUSTIN       TX 05436841226300167618323,6.75,debit,Restaurants,Adv Plus Banking - 4686,,
8/16/2021,Taco Joint,CHECKCARD  0814 TACO JOINT LLC                              AUSTIN       TX 55310201227207388502214,11.2,debit,Restaurants,Adv Plus Banking - 4686,,
8/16/2021,TIX* EPROM + BLAC 8009363126 CA 55429501225637572671701,CHECKCARD  0813 TIX* EPROM + BLAC                           8009363126   CA 55429501225637572671701,22.05,debit,Entertainment,Adv Plus Banking - 4686,,
8/16/2021,Online Banking transfer from CHK 0127 Confirmation# 1513896213,Online Banking transfer from CHK 0127                       Confirmation# 1513896213,200,credit,Transfer,Adv Plus Banking - 4686,,
8/13/2021,TACODELI GRACY FA 5123391700 TX 55417411225400677000839,CHECKCARD  0812 TACODELI GRACY FA                           5123391700   TX 55417411225400677000839,19.69,debit,Restaurants,Adv Plus Banking - 4686,,
8/12/2021,MANDALA KI* MANDA 8887072469 TX 55429501223637547647507,PURCHASE   0811 MANDALA KI* MANDA                           8887072469   TX 55429501223637547647507,25.98,debit,Restaurants,Adv Plus Banking - 4686,,
8/11/2021,Sp Junk Brands,CHECKCARD  0810 SP * JUNK BRANDS                            ROGERS       AR 82711161223000006144413,31.16,credit,Income,Adv Plus Banking - 4686,,
8/11/2021,Asos.com Asos.com Ga,CHECKCARD  0810 ASOS.COM                                    ASOS.COM     GA 55432861222200156999067,77.94,credit,Income,Adv Plus Banking - 4686,,
8/10/2021,eBay,CHECKCARD  0810 eBay O*23-07448-5                           San Jose     CA 15270211222000052194947 RECURRING,232.72,debit,Shopping,Adv Plus Banking - 4686,,
8/9/2021,BUDDHAS BREW Austin TX 55432861220200506987467,CHECKCARD  0808 SQ *BUDDHAS BREW                            Austin       TX 55432861220200506987467,9,debit,Alcohol & Bars,Adv Plus Banking - 4686,,
8/9/2021,TST* AUSTIN DAILY AUSTIN TX 02305371220100226748312,CHECKCARD  0808 TST* AUSTIN DAILY                           AUSTIN       TX 02305371220100226748312,12.18,debit,Restaurants,Adv Plus Banking - 4686,,
8/9/2021,EB 11.11 WHETHAN 8014137200 CA 55429501218743815744179,CHECKCARD  0806 EB 11.11 WHETHAN                            8014137200   CA 55429501218743815744179,26.94,debit,Shopping,Adv Plus Banking - 4686,,
8/9/2021,SEE TICKETS *SHIB 323-9080607 CA 75418231219127576745233,CHECKCARD  0807 SEE TICKETS *SHIB                           323-9080607  CA 75418231219127576745233,24.77,debit,Entertainment,Adv Plus Banking - 4686,,
8/4/2021,MANDALA KI* MANDA 8887072469 TX 55429501215637443822881,PURCHASE   0803 MANDALA KI* MANDA                           8887072469   TX 55429501215637443822881,17.26,debit,Restaurants,Adv Plus Banking - 4686,,
8/4/2021,Biscuits and Groovy,CHECKCARD  0803 BISCUITS AND GROO                           AUSTIN       TX 05314611216500180128442,11.49,debit,Food & Dining,Adv Plus Banking - 4686,,
8/3/2021,MOBILE PURCHASE 0802 VENTRA ACCOUNT CHICAGO IL 05436841215000338267363,MOBILE PURCHASE 0802  VENTRA ACCOUNT                        CHICAGO      IL 05436841215000338267363,2.5,debit,Public Transportation,Adv Plus Banking - 4686,,
8/3/2021,TST* GODDESS AND CHICAGO IL 02305371214200057399983,CHECKCARD  0802 TST* GODDESS AND                            CHICAGO      IL 02305371214200057399983,12.2,debit,Coffee Shops,Adv Plus Banking - 4686,,
8/2/2021,NORTH LOOP MARKET CHICAGO IL 25247801212004114099184,CHECKCARD  0730 NORTH LOOP MARKET                           CHICAGO      IL 25247801212004114099184,31.59,debit,Groceries,Adv Plus Banking - 4686,,
8/2/2021,Foxtrot Market,CHECKCARD  0801 FOXTROT MARKET -                            CHICAGO      IL 55506291214400284002187,4.09,debit,Groceries,Adv Plus Banking - 4686,,
8/2/2021,MOBILE PURCHASE 0731 VENTRA ACCOUNT CHICAGO IL 05436841213000316037152,MOBILE PURCHASE 0731  VENTRA ACCOUNT                        CHICAGO      IL 05436841213000316037152,2.5,debit,Public Transportation,Adv Plus Banking - 4686,,
8/2/2021,Hudson News,HUDSON NEWS ST  08/02 #000614700 PURCHASE                   2309 MT PROSPECT   DES PLAINES   IL,2.86,debit,Newspapers & Magazines,Adv Plus Banking - 4686,,
8/2/2021,Chipotle,CHECKCARD  0731 CHIPOTLE 0091                               CHICAGO      IL 55310201213091565000218,8.88,debit,Fast Food,Adv Plus Banking - 4686,,
8/2/2021,FBR: Lollapalooza Austin TX 75345511211210211308269,CHECKCARD  0729 FBR: Lollapalooza                           Austin       TX 75345511211210211308269,11.5,debit,Restaurants,Adv Plus Banking - 4686,,
